X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
80.80785,6.88042,train,0.003470884594696356,47.28825115956746,0.7917745271151982
80.80628,6.80405,train,0.010839079145402006,84.47813920915596,0.992554770023078
80.80546,6.78962,train,0.008580974708568171,73.74656000455727,0.9793352779506623
80.79697,6.7832,train,0.005352818892235451,55.80385502190968,0.9110719322466935
80.79022,6.79194,train,0.010523115859326674,82.31825004651331,0.9914115719664823
80.76901,6.96893,train,0.00587575823782173,57.55533809952383,0.9297953222030277
80.77869,6.96689,train,0.0059070401497202905,59.322163629712584,0.9307811744817167
80.77732,6.96609,train,0.00587575823782173,57.55533809952383,0.9297953222030277
80.82323,6.92433,train,0.003504217227617983,47.98840926931867,0.7948887891769141
80.75465,7.52326,train,0.0014079802310800191,33.947367673140285,0.47087273776219607
80.73702,7.52327,train,0.04097282906020849,90.16575484982097,0.9999999909742902
80.73317,7.52358,train,0.015899920455227326,86.06843359868685,0.9992444847508216
80.73242,7.52616,train,0.04404302465617447,94.57002868006158,0.9999999977473918
80.73973,7.53094,train,0.05429984372792928,100.0,0.9999999999781786
80.75494,7.54412,train,0.003026895925400793,45.31466741309652,0.7454895295830004
80.76903,7.54924,train,5.039980582522583E-4,27.317819582413662,0.2037561575891328
80.44863,6.760117,train,4.828326042918154E-5,7.211833639566739,0.021591613275911525
80.595,6.389,train,3.9525002148339697E-4,25.502648141955355,0.16363192608753663
